"site_id","name","state","climreg","lon","lat","year","month","date","tmin_c","tmax_c","prec_mm"
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2008,6,"2008-06-01",15.3125,27.875,10.7749996185303
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2008,6,"2008-06-01",12.1875,25.0625,4.06874990463257
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2008,7,"2008-07-01",22,32.3125,72.8499984741211
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2008,7,"2008-07-01",15.4375,30,26.6062507629395
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2008,7,"2008-07-01",21.9333324432373,29.466667175293,45.9533348083496
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2008,7,"2008-07-01",18.5,33.4375,2.23125004768372
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2008,7,"2008-07-01",18,29,1.91250002384186
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2008,7,"2008-07-01",10,22.75,3.1875
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2008,7,"2008-07-01",13.125,28.125,3.45000004768372
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2008,7,"2008-07-01",10.5625,25.125,1.51250004768372
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2008,8,"2008-08-01",23,33,67.75
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2008,8,"2008-08-01",16.125,29.875,87.4812545776367
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2008,8,"2008-08-01",22,30,40.1399993896484
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2008,8,"2008-08-01",19.625,35.5,4.97499990463257
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2008,8,"2008-08-01",18,30,2.66875004768372
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2008,8,"2008-08-01",13,22.875,91.3812484741211
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2008,8,"2008-08-01",16.375,29.5625,27.5687503814697
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2008,8,"2008-08-01",13.4375,27.25,28.8062496185303
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2008,9,"2008-09-01",23,33.25,37.8187484741211
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2008,9,"2008-09-01",15,28.9375,46.78125
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2008,9,"2008-09-01",22.9333324432373,31,2.63333320617676
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2008,9,"2008-09-01",20.9375,35.0625,40.7000007629395
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2008,9,"2008-09-01",19,32.8125,1.5625
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2008,9,"2008-09-01",12,22.5,67.6750030517578
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2008,9,"2008-09-01",17.375,29.8125,58.75
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2008,9,"2008-09-01",13.9375,27.6875,87.90625
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2008,10,"2008-10-01",24,33.6875,92.0875015258789
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2008,10,"2008-10-01",19,30.625,118.474998474121
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2008,10,"2008-10-01",23,31.8666667938232,1.82666659355164
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2008,10,"2008-10-01",20.8125,34.1875,68.28125
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2008,10,"2008-10-01",20.375,34.6875,3.67499995231628
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2008,10,"2008-10-01",15,24.125,156.074996948242
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2008,10,"2008-10-01",19.75,31.4375,53.7125015258789
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2008,10,"2008-10-01",16.75,29,73.5875015258789
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2008,11,"2008-11-01",22.9375,32.6875,56.4749984741211
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2008,11,"2008-11-01",20,31,139.350006103516
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2008,11,"2008-11-01",24,32,15.5533332824707
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2008,11,"2008-11-01",20.75,31.6875,186.412506103516
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2008,11,"2008-11-01",21,34.625,8.67500019073486
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2008,11,"2008-11-01",15,24.0625,159.737503051758
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2008,11,"2008-11-01",20.5625,29.75,233.731246948242
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2008,11,"2008-11-01",17.4375,27.0625,233.243743896484
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2008,12,"2008-12-01",23,32,202.931243896484
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2008,12,"2008-12-01",19,32,120.512496948242
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2008,12,"2008-12-01",24,31.8666667938232,9.14666652679443
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2008,12,"2008-12-01",21.5,29.8125,239.112503051758
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2008,12,"2008-12-01",20.3125,33,71.4937515258789
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2008,12,"2008-12-01",15.875,25.3125,178.212493896484
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2008,12,"2008-12-01",19.875,29.8125,291.268737792969
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2008,12,"2008-12-01",17.375,26.6875,547.212524414062
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2009,1,"2009-01-01",22,31.625,261.981262207031
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2009,1,"2009-01-01",19.5,29,281.606262207031
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2009,1,"2009-01-01",24,31,160.699996948242
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2009,1,"2009-01-01",21.5,29.5625,246.806243896484
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2009,1,"2009-01-01",20.125,33,78.2750015258789
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2009,1,"2009-01-01",17.8125,25.9375,257.462493896484
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2009,1,"2009-01-01",20,31.4375,277.681243896484
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2009,1,"2009-01-01",17.4375,27.9375,355.512512207031
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2009,2,"2009-02-01",22,31,449.424987792969
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2009,2,"2009-02-01",20,31,153.418746948242
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2009,2,"2009-02-01",23.9333324432373,29.7999992370605,300.359985351562
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2009,2,"2009-02-01",20.8125,29.5,332.237487792969
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2009,2,"2009-02-01",20.625,32.0625,101.349998474121
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2009,2,"2009-02-01",18,27.125,326.59375
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2009,2,"2009-02-01",21.5625,32.1875,100.300003051758
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2009,2,"2009-02-01",18,29,254.512496948242
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2009,3,"2009-03-01",22,31,508.637512207031
